frame.number,ip.src,ip.dst,_ws.col.info
214,168.63.129.16,172.16.0.4,32526 → 45952 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM TSval=3238918581 TSecr=3784447238
215,172.16.0.4,168.63.129.16,45952 → 32526 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3784447239 TSecr=3238918581
216,172.16.0.4,168.63.129.16,GET /health HTTP/1.1 
217,168.63.129.16,172.16.0.4,HTTP/1.1 200 OK 
218,172.16.0.4,168.63.129.16,45952 → 32526 [FIN, ACK] Seq=133 Ack=203 Win=64128 Len=0 TSval=3784447240 TSecr=3238918581
219,168.63.129.16,172.16.0.4,32526 → 45952 [ACK] Seq=203 Ack=134 Win=4195328 Len=0 TSval=3238918582 TSecr=3784447240
220,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2593 Ack=2521 Win=2048 Len=0 TSval=4271057980 TSecr=2596686331
221,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
222,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
223,172.16.0.4,49.228.168.4,[TCP Retransmission] 22 → 59875 [PSH, ACK] Seq=2557 Ack=2629 Win=981 Len=36 TSval=2596686460 TSecr=4271057980
224,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2629 Ack=2557 Win=2048 Len=0 TSval=4271057998 TSecr=2596686350
225,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
226,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
227,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
228,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
229,172.16.0.4,49.228.168.4,22 → 59875 [ACK] Seq=2593 Ack=2773 Win=981 Len=0 TSval=2596686477 TSecr=4271057999
230,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=108)
231,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
232,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2773 Ack=2593 Win=2048 Len=0 TSval=4271058088 TSecr=2596686371
233,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
234,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
235,49.228.168.4,172.16.0.4,[TCP Dup ACK 232#1] 59875 → 22 [ACK] Seq=2809 Ack=2593 Win=2048 Len=0 TSval=4271058108 TSecr=2596686460 SLE=2557 SRE=2593
236,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
237,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
238,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2845 Ack=2737 Win=2048 Len=0 TSval=4271058125 TSecr=2596686477
239,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2845 Ack=2773 Win=2048 Len=0 TSval=4271058128 TSecr=2596686479
240,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
241,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
242,172.16.0.4,8.8.8.8,Echo (ping) request  id=0x1bbf, seq=1/256, ttl=64
243,8.8.8.8,172.16.0.4,Echo (ping) reply    id=0x1bbf, seq=1/256, ttl=116 (request in 242)
244,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
245,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
246,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2917 Ack=2809 Win=2048 Len=0 TSval=4271058149 TSecr=2596686501
247,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2917 Ack=2845 Win=2048 Len=0 TSval=4271058169 TSecr=2596686521
248,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
249,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
250,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2953 Ack=2881 Win=2048 Len=0 TSval=4271058187 TSecr=2596686540
251,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
252,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
253,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2989 Ack=2917 Win=2048 Len=0 TSval=4271058210 TSecr=2596686562
254,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
255,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
256,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3025 Ack=2953 Win=2048 Len=0 TSval=4271058227 TSecr=2596686580
257,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
258,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
259,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3061 Ack=2989 Win=2048 Len=0 TSval=4271058251 TSecr=2596686602
260,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
261,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=52)
262,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3097 Ack=3025 Win=2048 Len=0 TSval=4271058269 TSecr=2596686621
263,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
